,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46
P1,0,0.178159977023191,0.202665937831866,0.217795137770043,0.198586831978994,0.225196187814539,0.219168797980552,0.230515256275867,0.222271676769755,0.248569409165261,0.202756473102524,0.205666751662243,0.211607635827402,0.238157089884059,0.193730895463364,0.205621523802048,0.220078307849845,0.213765055849415,0.214230824036007,0.223872902119441,0.232941754134545,0.219005983716905,0.243974657496834,0.225995296316526,0.233904571020399,0.264120375357279,0.254855080471765,0.229538647280249,0.229468172749086,0.252583821531719,0.228186837609695,0.216956471838508,0.206958786079715,0.208666535214465,0.223059247036114,0.217230717795115,0.216055566095626,0.209882814774559,0.214796379113851,0.217094654397958,0.202862840419144,0.200315736989621,0.211589976228214,0.221952116909875,0.215018965469525,0.218977843368731
P2,0.178159977023191,0,0.178905423217698,0.199841588763763,0.184379054724194,0.206323748610495,0.194504592832326,0.193647234102483,0.20525202969346,0.208558000386524,0.192059080779774,0.177151091924483,0.188353586342006,0.218691364736521,0.177234701753428,0.197217081190892,-0.0139927490974226,0.186709935904723,0.198358004125154,0.188702826038258,0.21538386639319,0.193347531102206,0.22588289428703,0.206523207644281,0.202496906115665,0.23172724006584,0.234378888239269,0.200525605830127,0.210473570281908,0.221518416647682,0.198603363587558,0.201273225757584,0.193847615614764,0.197737932043882,0.203441955082897,0.207839581602733,0.209059728629963,0.180174585249608,0.190855023130316,0.197514789667721,0.184820643402049,0.177470549912207,0.186402322002975,0.188014547930307,0.191206392170086,0.193969822608246
P3,0.202665937831866,0.178905423217698,0,0.203645491161433,0.194704861125543,0.212811130846417,0.204371192287586,0.213301910258651,0.212666489688202,0.226636211343116,0.200648835414403,0.181247495016539,0.201636962474089,0.245766258465636,0.200664045340521,0.209479606106745,0.211254657466652,0.210045870357218,0.209837575732824,0.212514487477433,0.220720246929152,0.204546890398993,0.238977737786493,0.219816197858144,0.218589859203687,0.235637266902212,0.243279963564827,0.210755676760447,0.219429629316144,0.234216032611839,0.214858915341859,0.209155512826808,0.208001883819837,0.202570258291673,0.213434969986168,0.21257952058362,0.216298238585536,0.198103778458008,0.204607681611919,0.209525983877635,0.19198749476588,0.196824312506329,0.196579264529132,0.210453744183789,0.206909455958865,0.20416672366522
P4,0.217795137770043,0.199841588763763,0.203645491161433,0,0.181917625009435,0.221644137896907,0.216346759083031,0.232320885886802,0.222873610968988,0.236495526860684,0.205651345549557,0.195445512602751,0.205425749542668,0.26638881629085,0.207297680780252,0.20552479636177,0.237355120896311,0.219727985568492,0.222114050311155,0.226967488789911,0.224963806293038,0.211822969798342,0.244870908295417,0.227526341531123,0.224054216056447,0.245818969875706,0.244546196764012,0.215166144775962,0.226350415898715,0.236488379635576,0.225965783969981,0.205598324533543,0.215137112140891,0.206099158069958,0.213609742014491,0.213485203511057,0.221142370133407,0.210598034621451,0.213296033051568,0.205891819697233,0.199157469432703,0.207597581097082,0.206839947033036,0.22572471271315,0.213605947495547,0.218876592855313
P5,0.198586831978994,0.184379054724194,0.194704861125543,0.181917625009435,0,0.199989871110673,0.208431696560291,0.203368138423772,0.202509365966928,0.219794398098711,0.190618759800253,0.180941185267025,0.188520667747647,0.230677753786791,0.187232601051996,0.194528514196428,0.217969595244624,0.199478151051185,0.196187943589665,0.205133087963142,0.203635022374735,0.192432790005401,0.223885831118474,0.199139288985831,0.203341761059733,0.233166905500268,0.216821249145993,0.204278998176735,0.187703709717955,0.215565812368771,0.201972268981051,0.193909831078024,0.191628607322126,0.192831482813785,0.202311420441352,0.19603697462339,0.198897250038326,0.190255809395074,0.191786320266756,0.198470898874798,0.191048511389249,0.179533769219793,0.192878893257312,0.202032932371501,0.193863335976817,0.195695518934112
P6,0.225196187814539,0.206323748610495,0.212811130846417,0.221644137896907,0.199989871110673,0,0.222832566615815,0.233560407120151,0.236471995271808,0.251074687862728,0.210599749430348,0.203777511649498,0.211896397791781,0.275624769913744,0.216548187788638,0.224546818966796,0.243582557467176,0.22608269436197,0.230250334965038,0.229431857569203,0.235209027189196,0.223350006943611,0.247332291311651,0.236733471409384,0.236855109590559,0.266129385845291,0.267037398347621,0.233525698779169,0.235181415741397,0.256086597280971,0.229931741129009,0.21960935946013,0.224953550845803,0.209308188203226,0.229307794448302,0.228965875274884,0.233625652576841,0.216390369209367,0.23160151625986,0.219202154262805,0.214032362934584,0.218481579195303,0.225277867538161,0.230974741458549,0.22572655917652,0.233615541925497
P7,0.219168797980552,0.194504592832326,0.204371192287586,0.216346759083031,0.208431696560291,0.222832566615815,0,0.192665271577765,0.231809672850889,0.231192936485985,0.205071369064132,0.197561648328443,0.202990263245755,0.253361924911218,0.202604806237483,0.218832432670318,0.222929889862218,0.217574282799003,0.217098945783184,0.212491198466857,0.228829257990862,0.214051422141052,0.249303949077281,0.231855360713628,0.225362256449484,0.272539574685832,0.257272868206173,0.237290419335688,0.232551245434793,0.249011580399657,0.225430131081972,0.219245421310352,0.22095577131864,0.215844844511397,0.227070833303449,0.22537902181784,0.23359681860994,0.205227845527499,0.217002986610321,0.21929686728609,0.21167766744655,0.203411068703895,0.213780904760129,0.212826851756674,0.221838126616471,0.214562206040545
P8,0.230515256275867,0.193647234102483,0.213301910258651,0.232320885886802,0.203368138423772,0.233560407120151,0.192665271577765,0,0.239863662602553,0.23872390824426,0.216083824039259,0.207167154683251,0.216083105839808,0.249884986309481,0.200385697076507,0.220325428186509,0.227576698683859,0.214123147294039,0.229901796834123,0.222766798274541,0.241458505208427,0.2271125284763,0.259285341431074,0.235895808959599,0.237097770014692,0.278158860472672,0.260402905408403,0.246264708999473,0.230135190174874,0.260665654897271,0.232339310360705,0.237304627408112,0.221871456530794,0.229523340133658,0.242536091471015,0.232221544930688,0.23785752074741,0.210826963237714,0.23411022280867,0.231548211580028,0.219507695504442,0.20180803795535,0.229472192219772,0.223346746954476,0.230492195004535,0.21874405677668
P9,0.222271676769755,0.20525202969346,0.212666489688202,0.222873610968988,0.202509365966928,0.236471995271808,0.231809672850889,0.239863662602553,0,0.239357659924309,0.205564377474017,0.212427189816661,0.21584053985136,0.275448327895525,0.212314193216233,0.22525412917209,0.241951043828999,0.230939172559214,0.211691893586535,0.231407208823679,0.226364897270563,0.206281404619018,0.245605524952698,0.216748728471744,0.224886216913339,0.242741377657215,0.231333404298384,0.22268414756299,0.217835909319566,0.227212114178038,0.226871637330478,0.210912614730891,0.206272846023037,0.22137525080077,0.22312253254485,0.204875531532943,0.203231807179958,0.214313386855826,0.2051394359276,0.222675477494349,0.211551391115478,0.207924798574411,0.211447225977664,0.229082172784305,0.221610661704111,0.220675623130957
P10,0.248569409165261,0.208558000386524,0.226636211343116,0.236495526860684,0.219794398098711,0.251074687862728,0.231192936485985,0.23872390824426,0.239357659924309,0,0.212607440505936,0.211766501925409,0.216603800563019,0.265602808012166,0.218361551616229,0.239321869208945,0.234677453867986,0.226542695516887,0.242604645646011,0.230751220455838,0.236860124604918,0.217723380140775,0.25259052801377,0.226556754796585,0.227706335483578,0.291117668269415,0.270077637157961,0.243400216077605,0.242491338127084,0.267554629994678,0.227032746308496,0.242076335242444,0.225869937882685,0.235839156154687,0.241008206363925,0.235850332120182,0.245064538271006,0.210948529868157,0.228386729692743,0.23296206682599,0.226751744039082,0.222927312725413,0.215311290550761,0.224409095290967,0.225635291694652,0.219035477124841
