,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46
P1,0,0.0843391172265952,0.10884507803527,0.123974277973447,0.104765972182398,0.131375328017942,0.125347938183956,0.136694396479271,0.128450816973159,0.154748549368665,0.108935613305928,0.111845891865647,0.117786776030806,0.144336230087463,0.0999100356667676,0.111800664005452,0.126257448053249,0.119944196052819,0.120409964239411,0.130052042322845,0.139120894337949,0.125185123920309,0.150153797700238,0.13217443651993,0.140083711223802,0.170299515560683,0.161034220675169,0.135717787483652,0.13564731295249,0.158762961735123,0.134365977813099,0.123135612041912,0.113137926283119,0.114845675417869,0.129238387239518,0.123409857998519,0.12223470629903,0.116061954977963,0.120975519317255,0.123273794601362,0.109041980622548,0.106494877193025,0.117769116431618,0.128131257113279,0.121198105672929,0.125156983572135
P2,0.0843391172265952,0,0.0850845634211021,0.106020728967167,0.0905581949275978,0.112502888813899,0.10068373303573,0.0998263743058869,0.111431169896864,0.114737140589928,0.0982382209831778,0.0833302321278864,0.0945327265454101,0.124870504939925,0.083413841956832,0.103396221394296,-0.0139927490974226,0.0928890761081268,0.104537144328557,0.0948819662416623,0.121563006596594,0.0995266713056094,0.132062034490434,0.112702347847684,0.108676046319068,0.137906380269243,0.140558028442673,0.106704746033531,0.116652710485312,0.127697556851086,0.104782503790962,0.107452365960988,0.100026755818168,0.103917072247286,0.109621095286301,0.114018721806137,0.115238868833367,0.0863537254530118,0.0970341633337194,0.103693929871125,0.0909997836054524,0.083649690115611,0.0925814622063788,0.0941936881337105,0.0973855323734896,0.100148962811649
P3,0.10884507803527,0.0850845634211021,0,0.109824631364837,0.100884001328947,0.118990271049821,0.110550332490989,0.119481050462055,0.118845629891606,0.132815351546519,0.106827975617807,0.0874266352199431,0.107816102677493,0.151945398669039,0.106843185543925,0.115658746310149,0.117433797670056,0.116225010560622,0.116016715936228,0.118693627680837,0.126899387132556,0.110726030602397,0.145156877989897,0.125995338061548,0.124768999407091,0.141816407105615,0.149459103768231,0.116934816963851,0.125608769519547,0.140395172815243,0.121038055545263,0.115334653030211,0.114181024023241,0.108749398495077,0.119614110189572,0.118758660787024,0.12247737878894,0.104282918661412,0.110786821815323,0.115705124081039,0.0981666349692839,0.103003452709733,0.102758404732536,0.116632884387193,0.113088596162269,0.110345863868624
P4,0.123974277973447,0.106020728967167,0.109824631364837,0,0.0880967652128393,0.127823278100311,0.122525899286435,0.138500026090206,0.129052751172391,0.142674667064088,0.111830485752961,0.101624652806155,0.111604889746071,0.172567956494253,0.113476820983656,0.111703936565174,0.143534261099715,0.125907125771895,0.128293190514559,0.133146628993314,0.131142946496442,0.118002110001746,0.15105004849882,0.133705481734527,0.13023335625985,0.15199811007911,0.150725336967416,0.121345284979366,0.132529556102119,0.14266751983898,0.132144924173385,0.111777464736947,0.121316252344295,0.112278298273362,0.119788882217895,0.11966434371446,0.12732151033681,0.116777174824855,0.119475173254972,0.112070959900636,0.105336609636107,0.113776721300485,0.11301908723644,0.131903852916554,0.119785087698951,0.125055733058716
P5,0.104765972182398,0.0905581949275978,0.100884001328947,0.0880967652128393,0,0.106169011314077,0.114610836763695,0.109547278627176,0.108688506170332,0.125973538302115,0.0967979000036566,0.0871203254704292,0.0946998079510506,0.136856893990195,0.0934117412553995,0.100707654399832,0.124148735448028,0.105657291254589,0.102367083793069,0.111312228166546,0.109814162578139,0.0986119302088052,0.130064971321878,0.105318429189235,0.109520901263137,0.139346045703672,0.123000389349397,0.110458138380138,0.0938828499213584,0.121744952572175,0.108151409184455,0.100088971281427,0.0978077475255301,0.0990106230171892,0.108490560644756,0.102216114826794,0.10507639024173,0.0964349495984778,0.09796546047016,0.104650039078202,0.0972276515926526,0.0857129094231969,0.0990580334607157,0.108212072574905,0.10004247618022,0.101874659137516
P6,0.131375328017942,0.112502888813899,0.118990271049821,0.127823278100311,0.106169011314077,0,0.129011706819219,0.139739547323554,0.142651135475211,0.157253828066132,0.116778889633752,0.109956651852902,0.118075537995185,0.181803910117148,0.122727327992042,0.1307259591702,0.14976169767058,0.132261834565374,0.136429475168442,0.135610997772607,0.141388167392599,0.129529147147015,0.153511431515055,0.142912611612788,0.143034249793963,0.172308526048695,0.173216538551024,0.139704838982573,0.141360555944801,0.162265737484375,0.136110881332413,0.125788499663534,0.131132691049207,0.11548732840663,0.135486934651706,0.135145015478288,0.139804792780245,0.122569509412771,0.137780656463264,0.125381294466209,0.120211503137988,0.124660719398707,0.131457007741565,0.137153881661953,0.131905699379923,0.1397946821289
P7,0.125347938183956,0.10068373303573,0.110550332490989,0.122525899286435,0.114610836763695,0.129011706819219,0,0.0988444117811691,0.137988813054293,0.137372076689389,0.111250509267536,0.103740788531847,0.109169403449159,0.159541065114622,0.108783946440887,0.125011572873722,0.129109030065622,0.123753423002407,0.123278085986588,0.118670338670261,0.135008398194266,0.120230562344456,0.155483089280684,0.138034500917032,0.131541396652888,0.178718714889236,0.163452008409577,0.143469559539092,0.138730385638197,0.15519072060306,0.131609271285376,0.125424561513756,0.127134911522044,0.122023984714801,0.133249973506853,0.131558162021244,0.139775958813344,0.111406985730903,0.123182126813725,0.125476007489494,0.117856807649954,0.109590208907299,0.119960044963532,0.119005991960078,0.128017266819875,0.120741346243949
P8,0.136694396479271,0.0998263743058869,0.119481050462055,0.138500026090206,0.109547278627176,0.139739547323554,0.0988444117811691,0,0.146042802805956,0.144903048447664,0.122262964242663,0.113346294886655,0.122262246043212,0.156064126512885,0.106564837279911,0.126504568389913,0.133755838887263,0.120302287497443,0.136080937037527,0.128945938477945,0.14763764541183,0.133291668679704,0.165464481634478,0.142074949163003,0.143276910218096,0.184338000676076,0.166582045611807,0.152443849202877,0.136314330378278,0.166844795100675,0.138518450564109,0.143483767611516,0.128050596734198,0.135702480337062,0.148715231674419,0.138400685134092,0.144036660950814,0.117006103441118,0.140289363012074,0.137727351783431,0.125686835707846,0.107987178158754,0.135651332423176,0.12952588715788,0.136671335207939,0.124923196980084
P9,0.128450816973159,0.111431169896864,0.118845629891606,0.129052751172391,0.108688506170332,0.142651135475211,0.137988813054293,0.146042802805956,0,0.145536800127713,0.111743517677421,0.118606330020065,0.122019680054764,0.181627468098929,0.118493333419636,0.131433269375494,0.148130184032403,0.137118312762617,0.117871033789939,0.137586349027083,0.132544037473967,0.112460544822422,0.151784665156101,0.122927868675148,0.131065357116743,0.148920517860619,0.137512544501788,0.128863287766393,0.12401504952297,0.133391254381442,0.133050777533882,0.117091754934295,0.112451986226441,0.127554391004174,0.129301672748254,0.111054671736347,0.109410947383362,0.120492527059229,0.111318576131004,0.128854617697753,0.117730531318882,0.114103938777815,0.117626366181068,0.135261312987708,0.127789801907514,0.126854763334361
P10,0.154748549368665,0.114737140589928,0.132815351546519,0.142674667064088,0.125973538302115,0.157253828066132,0.137372076689389,0.144903048447664,0.145536800127713,0,0.11878658070934,0.117945642128813,0.122782940766423,0.17178194821557,0.124540691819633,0.145501009412349,0.14085659407139,0.132721835720291,0.148783785849415,0.136930360659242,0.143039264808322,0.123902520344179,0.158769668217174,0.132735894999989,0.133885475686982,0.197296808472819,0.176256777361365,0.149579356281009,0.148670478330488,0.173733770198082,0.1332118865119,0.148255475445848,0.132049078086089,0.14201829635809,0.147187346567329,0.142029472323586,0.15124367847441,0.117127670071561,0.134565869896147,0.139141207029393,0.132930884242486,0.129106452928817,0.121490430754165,0.130588235494371,0.131814431898056,0.125214617328245
P11,0.108935613305928,0.0982382209831778,0.106827975617807,0.111830485752961,0.0967979000036566,0.116778889633752,0.111250509267536,0.122262964242663,0.111743517677421,0.11878658070934,0,0.0902726163693668,0.0915983227990811,0.14958454871249,0.0922226697573319,0.0962810640609169,0.126720274848025,0.108109091510836,0.112256294979407,0.112553186400687,0.128293828628577,0.118333066691693,0.146008688341136,0.120602257655576,0.124233109621511,0.170329630331625,0.143711683826309,0.133798291092388,0.12041895741241,0.156280200602004,0.119007893538863,0.117273952086931,0.0913581400604075,0.101596073809361,0.116592177151025,0.101989980164178,0.106108956047463,0.105079166537073,0.107849949819445,0.10232701572013,0.0940148350315188,0.0965025947368712,0.106163742339369,0.109575862696549,0.103983189430712,0.111422055552893
