pool,region,feral,bam
YoungBF1,Young,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_feral/YoungBF1.bam
YoungBF2,Young,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_feral/YoungBF2.bam
YoungBF3,Young,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_feral/YoungBF3.bam
YoungBF4,Young,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_feral/YoungBF4.bam
YoungBF5,Young,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_feral/YoungBF5.bam
YoungBF6,Young,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_feral/YoungBF6.bam
YoungBF7,Young,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_feral/YoungBF7.bam
YoungBF8,Young,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_feral/YoungBF8.bam
YoungBF9,Young,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_feral/YoungBF9.bam
YoungBF10,Young,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_feral/YoungBF10.bam
YoungBM1,Young,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_managed/YoungBM1.bam
YoungBM2,Young,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_managed/YoungBM2.bam
YoungBM3,Young,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_managed/YoungBM3.bam
YoungBM4,Young,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_managed/YoungBM4.bam
YoungBM5,Young,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_managed/YoungBM5.bam
YoungBM6,Young,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_managed/YoungBM6.bam
YoungBM7,Young,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_managed/YoungBM7.bam
YoungBM8,Young,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_managed/YoungBM8.bam
YoungBM9,Young,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_managed/YoungBM9.bam
YoungBM10,Young,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/young_managed/YoungBM10.bam
BatlowBF2,Batlow,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_feral/BatlowBF2.bam
BatlowBF3,Batlow,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_feral/BatlowBF3.bam
BatlowBF4,Batlow,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_feral/BatlowBF4.bam
BatlowBF5,Batlow,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_feral/BatlowBF5.bam
BatlowBF6,Batlow,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_feral/BatlowBF6.bam
BatlowBF7,Batlow,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_feral/BatlowBF7.bam
BatlowBF8,Batlow,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_feral/BatlowBF8.bam
BatlowBF9,Batlow,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_feral/BatlowBF9.bam
BatlowBF10,Batlow,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_feral/BatlowBF10.bam
BatlowBF11,Batlow,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_feral/BatlowBF11.bam
BatlowBF13,Batlow,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_feral/BatlowBF13.bam
BatlowBF14,Batlow,feral,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_feral/BatlowBF14.bam
BatlowBM1,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM1.bam
BatlowBM2,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM2.bam
BatlowBM3,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM3.bam
BatlowBM4,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM4.bam
BatlowBM5,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM5.bam
BatlowBM6,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM6.bam
BatlowBM7,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM7.bam
BatlowBM8,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM8.bam
BatlowBM9,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM9.bam
BatlowBM10,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM10.bam
BatlowBM11,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM11.bam
BatlowBM12,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM12.bam
BatlowBM13,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM13.bam
BatlowBM14,Batlow,managed,/mnt/data/wright/home/u8021786/popoolation2_project/map/batlow_managed/BatlowBM14.bam
